date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2017-08-03,8300,8350,8225,8250,6708500,0,0,0,0
2017-08-04,8225,8325,8175,8225,6600200,0,0,0,0
2017-08-07,8250,8350,8150,8200,6799900,0,0,0,0
2017-08-08,8200,8400,8200,8400,4036400,0,0,0,0
2017-08-09,8325,8400,8200,8400,7303600,0,0,0,0
2017-08-10,8450,8475,8275,8450,3290400,0,0,0,0
2017-08-11,8425,8425,8225,8250,6379900,0,0,0,0
2017-08-14,8325,8350,8250,8250,2446300,0,0,0,0
2017-08-15,8300,8350,8225,8325,2245000,0,0,0,0
2017-08-16,8275,8375,8275,8375,4965000,0,0,0,0
2017-08-17,8375,8375,8375,8375,0,0,0,0,0
2017-08-18,8300,8450,8300,8400,3986300,0,0,0,0
2017-08-21,8300,8375,8275,8300,3944700,0,0,0,0
2017-08-22,8400,8400,8300,8325,4511500,0,0,0,0
2017-08-23,8375,8375,8275,8350,4373400,0,0,0,0
2017-08-24,8275,8425,8275,8400,4660700,0,0,0,0
2017-08-25,8400,8600,8400,8600,6548800,0,0,0,0
2017-08-28,8600,8625,8500,8625,1562800,0,0,0,0
2017-08-29,8625,8700,8525,8675,3673100,0,0,0,0
2017-08-30,8675,8700,8550,8675,5397500,0,0,0,0
2017-08-31,8375,8750,8275,8425,106387300,0,0,0,0
2017-09-01,8375,8375,8375,8375,0,0,0,0,0
2017-09-04,8400,8450,8350,8375,4531000,0,0,0,0
2017-09-05,8375,8400,8275,8375,3513700,0,0,0,0
2017-09-06,8375,8400,8300,8375,4532000,0,0,0,0
2017-09-07,8350,8550,8325,8525,4356300,0,0,0,0
2017-09-08,8550,8675,8525,8650,5785600,0,0,0,0
2017-09-11,8650,8700,8575,8600,3978600,0,0,0,0
2017-09-12,8650,8700,8575,8700,4194200,0,0,0,0
2017-09-13,8700,8700,8575,8575,2842700,0,0,0,0
2017-09-14,8550,8575,8500,8525,4132100,0,0,0,0
2017-09-15,8525,8575,8425,8500,11066600,0,0,0,0
2017-09-18,8500,8600,8450,8475,3842600,0,0,0,0
2017-09-19,8475,8600,8400,8575,7630800,0,0,0,0
2017-09-20,8550,8725,8500,8725,6021600,0,0,0,0
2017-09-21,8725,8725,8725,8725,0,0,0,0,0
2017-09-22,8750,8750,8525,8525,9517400,0,0,0,0
2017-09-25,8525,8625,8525,8625,2846600,0,0,0,0
2017-09-26,8600,8600,8475,8525,5980400,0,0,0,0
2017-09-27,8550,8550,8450,8550,7354500,0,0,0,0
2017-09-28,8575,8575,8400,8400,6959900,0,0,0,0
2017-09-29,8425,8575,8425,8425,7300700,0,0,0,0
