date,open,high,low,close,volume,sentiment_average_1d,sentiment_weighted_1d,sentiment_news_count_1d,sentiment_unavailable_count_1d
2023-12-04,5450,5575,5450,5500,235595700,0,0,0,0
2023-12-05,5425,5500,5425,5450,114689900,0,0,0,0
2023-12-06,5425,5450,5400,5425,119716700,0,0,0,0
2023-12-07,5400,5475,5400,5475,102126600,0,0,0,0
2023-12-08,5425,5450,5375,5375,130542600,0,0,0,0
2023-12-11,5325,5375,5300,5300,124468600,0,0,0,0
2023-12-12,5375,5400,5325,5325,134501600,0,0,0,0
2023-12-13,5300,5350,5275,5300,98881600,0,0,0,0
2023-12-14,5450,5550,5425,5550,239261700,0,0,0,0
2023-12-15,5575,5600,5550,5550,252448800,0,0,0,0
2023-12-18,5575,5575,5500,5500,102780900,0,0,0,0
2023-12-19,5450,5550,5450,5550,135207300,0,0,0,0
2023-12-20,5700,5700,5550,5550,138470900,0,0,0,0
2023-12-21,5550,5600,5525,5575,99049600,0,0,0,0
2023-12-22,5650,5700,5600,5675,109411300,0,0,0,0
2023-12-27,5700,5725,5625,5625,122236700,0,0,0,0
2023-12-28,5700,5750,5675,5725,121434600,0,0,0,0
2023-12-29,5750,5750,5675,5725,93126000,0,0,0,0
2023-12-31,5725,5900,5400,5700,2623770000,0,0,0,0
2024-01-02,5650,5675,5625,5675,91143100,0,0,0,0
2024-01-03,5625,5650,5600,5600,83659700,0,0,0,0
2024-01-04,5600,5700,5575,5700,92683500,0,0,0,0
2024-01-05,5725,5850,5700,5750,134929600,0,0,0,0
2024-01-08,5750,5800,5625,5625,152015000,0,0,0,0
2024-01-09,5625,5700,5625,5700,105666200,0,0,0,0
2024-01-10,5625,5700,5625,5700,82626400,0,0,0,0
2024-01-11,5750,5800,5700,5750,116804400,0,0,0,0
2024-01-12,5800,5850,5775,5850,109715700,0,0,0,0
2024-01-15,5850,5900,5775,5825,115126700,0,0,0,0
2024-01-16,5825,5875,5775,5825,97074300,0,0,0,0
2024-01-17,5825,5825,5750,5775,107941600,0,0,0,0
2024-01-18,5800,5800,5700,5750,87259100,0,0,0,0
2024-01-19,5750,5800,5700,5800,75370700,0,0,0,0
2024-01-22,5775,5800,5700,5775,97545600,0,0,0,0
2024-01-23,5700,5750,5650,5700,122999700,0,0,0,0
2024-01-24,5675,5700,5575,5650,104225000,0,0,0,0
2024-01-25,5575,5650,5525,5525,120478800,0,0,0,0
2024-01-26,5450,5475,5400,5425,185244400,0,0,0,0
2024-01-29,5400,5575,5400,5575,145629600,0,0,0,0
2024-01-30,5525,5650,5475,5625,150513700,0,0,0,0
2024-01-31,5775,6375,5725,6125,2636876600,0,0,0,0
2024-02-01,5775,5800,5725,5750,156633900,0,0,0,0
2024-02-02,5800,5850,5750,5850,177209700,0,0,0,0
2024-02-05,5800,5825,5750,5775,113760000,0,0,0,0
2024-02-06,5900,5900,5800,5825,126704300,0,0,0,0
2024-02-07,5850,5900,5825,5850,147005300,0,0,0,0
2024-02-12,5875,6025,5850,6025,171514600,0,0,0,0
2024-02-13,6050,6050,5950,6000,145852200,0,0,0,0
2024-02-15,6275,6275,6100,6125,308685100,0,0,0,0
2024-02-16,6150,6200,6125,6150,130814400,0,0,0,0
2024-02-19,6125,6175,6075,6100,111382900,0,0,0,0
2024-02-20,6175,6300,6175,6300,160872600,0,0,0,0
2024-02-21,6325,6375,6225,6300,168423000,0,0,0,0
2024-02-22,6250,6300,6225,6250,100256000,0,0,0,0
2024-02-23,6125,6175,6050,6125,148643000,0,0,0,0
2024-02-26,6100,6200,6075,6175,98920800,0,0,0,0
2024-02-27,6125,6200,6125,6125,99187500,0,0,0,0
2024-02-28,6100,6225,6100,6225,97236700,0,0,0,0
2024-02-29,6175,6450,5950,6050,2526094000,0,0,0,0
2024-03-01,6175,6175,6075,6125,76286400,0,0,0,0
2024-03-04,6125,6125,6050,6050,70354900,0,0,0,0
2024-03-05,6100,6175,6075,6125,115084600,0,0,0,0
2024-03-06,6100,6200,6100,6200,84108800,0,0,0,0
2024-03-07,6200,6275,6200,6225,117724700,0,0,0,0
2024-03-08,6275,6400,6250,6350,163060000,0,0,0,0
2024-03-13,6350,6450,6350,6400,195173100,0,0,0,0
2024-03-14,6175,6200,6050,6150,271254000,0,0,0,0
2024-03-15,6000,6075,5950,5975,305995800,0,0,0,0
2024-03-18,6000,6100,5975,6000,110564700,0,0,0,0
2024-03-19,6000,6050,5975,6000,114338600,0,0,0,0
2024-03-20,6000,6100,6000,6100,120885400,0,0,0,0
2024-03-21,6175,6200,6100,6100,136020000,0,0,0,0
2024-03-22,6050,6125,6050,6125,46529200,0,0,0,0
2024-03-25,6250,6250,6125,6250,115729600,0,0,0,0
2024-03-26,6300,6300,6200,6300,120748400,0,0,0,0
2024-03-27,6300,6325,6225,6250,73308900,0,0,0,0
2024-03-28,6100,6200,6025,6050,288926900,0,0,0,0
2024-03-31,6000,6025,4680,4940,6246945100,0,0,0,0
2024-04-01,6000,6025,5825,5925,217207800,0,0,0,0
2024-04-02,5850,5950,5625,5675,412180900,0,0,0,0
2024-04-03,5575,5675,5525,5625,333518700,0,0,0,0
2024-04-04,5650,5750,5650,5700,131936100,0,0,0,0
2024-04-05,5625,5700,5625,5650,178817800,0,0,0,0
2024-04-16,5375,5575,5350,5350,600717500,0,0,0,0
2024-04-17,5475,5500,5300,5300,244002000,0,0,0,0
2024-04-18,5300,5500,5300,5475,247410700,0,0,0,0
2024-04-19,5350,5375,5250,5275,258211500,0,0,0,0
2024-04-22,5200,5325,5150,5300,342282800,0,0,0,0
2024-04-23,5350,5400,5225,5300,281403100,0,0,0,0
2024-04-24,5250,5350,5150,5225,471241400,0,0,0,0
2024-04-25,5125,5200,5050,5150,479170900,0,0,0,0
2024-04-26,5050,5100,4830,4830,782589900,0,0,0,0
2024-04-29,4700,4890,4680,4770,700644800,0,0,0,0
2024-04-30,4910,5050,4310,4340,6705074600,0,0,0,0
2024-05-02,4910,4920,4700,4760,636922100,0,0,0,0
2024-05-03,4760,4830,4710,4750,321697200,0,0,0,0
2024-05-06,4800,4840,4730,4790,262707400,0,0,0,0
2024-05-07,4770,4780,4670,4670,304013600,0,0,0,0
2024-05-08,4650,4740,4570,4680,572275800,0,0,0,0
2024-05-13,4650,4700,4630,4680,320067100,0,0,0,0
2024-05-14,4720,4810,4700,4730,341458900,0,0,0,0
2024-05-15,4780,4870,4760,4820,298990300,0,0,0,0
2024-05-16,4930,4960,4840,4840,371295000,0,0,0,0
2024-05-17,4840,4960,4820,4920,208991800,0,0,0,0
2024-05-20,4990,5050,4820,4820,335150700,0,0,0,0
2024-05-21,4810,4870,4680,4680,271568800,0,0,0,0
2024-05-22,4650,4770,4650,4720,215066000,0,0,0,0
2024-05-27,4700,4720,4550,4550,363719300,0,0,0,0
2024-05-28,4580,4630,4520,4530,258070200,0,0,0,0
2024-05-29,4480,4500,4400,4410,465008500,0,0,0,0
2024-05-30,4400,4480,4310,4380,502927800,0,0,0,0
2024-05-31,4430,4640,4090,4600,5788893000,0,0,0,0
2024-06-03,4430,4560,4400,4530,345770100,0,0,0,0
2024-06-04,4560,4590,4450,4450,332902200,0,0,0,0
2024-06-05,4500,4500,4400,4400,240788500,0,0,0,0
2024-06-06,4450,4500,4390,4500,281534200,0,0,0,0
2024-06-07,4490,4500,4350,4350,375439600,0,0,0,0
2024-06-10,4350,4430,4320,4400,181387000,0,0,0,0
2024-06-11,4380,4440,4340,4340,197854400,0,0,0,0
2024-06-12,4340,4360,4310,4350,187332500,0,0,0,0
2024-06-13,4400,4420,4300,4310,238349600,0,0,0,0
2024-06-14,4300,4320,4170,4180,358893200,0,0,0,0
2024-06-19,4100,4240,4090,4100,410338400,0,0,0,0
2024-06-20,4130,4270,4130,4270,387133400,0,0,0,0
2024-06-21,4280,4490,4260,4440,532713300,0,0,0,0
2024-06-24,4440,4510,4400,4400,303830800,0,0,0,0
2024-06-25,4320,4400,4280,4380,383572500,0,0,0,0
2024-06-26,4390,4430,4350,4370,150303400,0,0,0,0
2024-06-27,4410,4500,4380,4460,299430600,0,0,0,0
2024-06-28,4590,4640,4580,4600,581319300,0,0,0,0
2024-06-30,4630,4980,4560,4670,4928458900,0,0,0,0
2024-07-01,4630,4670,4560,4630,261421200,0,0,0,0
2024-07-02,4610,4630,4570,4570,234403100,0,0,0,0
2024-07-03,4630,4640,4560,4600,176310400,0,0,0,0
2024-07-04,4680,4830,4660,4790,422261500,0,0,0,0
2024-07-05,4850,4870,4790,4800,218278000,0,0,0,0
2024-07-08,4800,4830,4740,4750,222042100,0,0,0,0
2024-07-09,4780,4930,4750,4870,291320400,0,0,0,0
2024-07-10,4870,4920,4840,4850,167619700,0,0,0,0
2024-07-11,4910,4920,4840,4840,170461300,0,0,0,0
2024-07-12,4970,4980,4880,4900,301125400,0,0,0,0
2024-07-15,4920,4930,4810,4820,188713000,0,0,0,0
2024-07-16,4820,4840,4730,4730,189271400,0,0,0,0
2024-07-17,4750,4810,4720,4760,263325400,0,0,0,0
2024-07-18,4760,4890,4750,4890,296614900,0,0,0,0
2024-07-19,4870,4910,4850,4900,135104800,0,0,0,0
2024-07-22,4920,4940,4880,4910,140128300,0,0,0,0
2024-07-23,4900,4910,4780,4790,170919500,0,0,0,0
2024-07-24,4770,4800,4760,4780,116037600,0,0,0,0
2024-07-25,4760,4760,4660,4700,274397700,0,0,0,0
2024-07-26,4760,4810,4740,4760,192267300,0,0,0,0
2024-07-29,4800,4800,4760,4780,126109900,0,0,0,0
2024-07-30,4720,4740,4670,4670,201835700,0,0,0,0
2024-07-31,4710,5325,4510,5150,4959917100,0,0,0,0
2024-08-01,4710,4750,4690,4750,169636700,0,0,0,0
2024-08-02,4730,4750,4690,4710,113328400,0,0,0,0
2024-08-05,4660,4670,4510,4530,329430900,0,0,0,0
2024-08-06,4550,4650,4520,4600,238051800,0,0,0,0
2024-08-07,4640,4640,4590,4620,125937500,0,0,0,0
2024-08-08,4600,4690,4590,4660,131343400,0,0,0,0
2024-08-09,4700,4730,4670,4670,98730900,0,0,0,0
2024-08-12,4720,4720,4650,4680,83552800,0,0,0,0
2024-08-13,4700,4750,4690,4720,109533400,0,0,0,0
2024-08-14,4770,4840,4760,4820,262716500,0,0,0,0
2024-08-15,4850,4870,4790,4830,214394900,0,0,0,0
2024-08-16,4850,4870,4830,4830,149701700,0,0,0,0
2024-08-19,4820,4820,4750,4820,196203200,0,0,0,0
2024-08-20,4860,4950,4840,4950,310085500,0,0,0,0
2024-08-21,4990,5100,4980,5100,390307000,0,0,0,0
2024-08-22,5125,5150,5025,5050,474043100,0,0,0,0
2024-08-23,5150,5200,5125,5150,217759300,0,0,0,0
2024-08-26,5200,5325,5200,5300,361169800,0,0,0,0
2024-08-27,5250,5275,5100,5175,271088700,0,0,0,0
2024-08-28,5100,5175,5025,5150,277561700,0,0,0,0
2024-08-29,5125,5175,5100,5125,160041900,0,0,0,0
2024-08-30,5175,5175,5125,5150,275298000,0,0,0,0
2024-08-31,5150,5575,4950,4950,5477415700,0,0,0,0
2024-09-02,5150,5225,5150,5175,136717200,0,0,0,0
2024-09-03,5225,5250,5150,5175,166033900,0,0,0,0
2024-09-04,5100,5175,5100,5100,141890400,0,0,0,0
2024-09-05,5125,5150,5075,5150,166436800,0,0,0,0
2024-09-06,5200,5250,5150,5225,170520700,0,0,0,0
2024-09-09,5275,5300,5150,5175,201448700,0,0,0,0
2024-09-10,5200,5250,5125,5250,202326400,0,0,0,0
2024-09-11,5225,5250,5125,5175,165284900,0,0,0,0
2024-09-12,5175,5225,5150,5175,138542100,0,0,0,0
2024-09-13,5200,5300,5175,5300,259722600,0,0,0,0
2024-09-17,5350,5350,5250,5300,201331600,0,0,0,0
2024-09-18,5350,5375,5325,5350,186877300,0,0,0,0
2024-09-19,5425,5500,5400,5400,332941100,0,0,0,0
2024-09-20,5400,5450,5375,5375,260437400,0,0,0,0
2024-09-23,5350,5500,5350,5500,245292000,0,0,0,0
2024-09-24,5550,5575,5525,5525,195415700,0,0,0,0
2024-09-25,5400,5425,5200,5325,607065900,0,0,0,0
2024-09-26,5150,5200,5025,5050,855266800,0,0,0,0
2024-09-27,5050,5150,5000,5100,304694300,0,0,0,0
2024-09-30,4970,5075,4630,4800,5301744600,0,0,0,0
2024-10-01,4970,5075,4970,5075,197069300,0,0,0,0
2024-10-02,5000,5075,4900,4940,307487600,0,0,0,0
2024-10-03,4900,4960,4860,4920,354814800,0,0,0,0
2024-10-04,4870,4920,4850,4860,289960700,0,0,0,0
2024-10-07,4860,4930,4810,4820,308452200,0,0,0,0
2024-10-08,4800,5050,4760,5000,527474400,0,0,0,0
2024-10-09,5000,5075,4930,4930,309336600,0,0,0,0
2024-10-10,4920,4970,4860,4860,226564700,0,0,0,0
2024-10-11,4910,4940,4890,4900,104875300,0,0,0,0
2024-10-14,4900,4930,4870,4900,125414400,0,0,0,0
2024-10-15,4930,4990,4920,4920,142372200,0,0,0,0
2024-10-16,4950,4970,4920,4950,118014300,0,0,0,0
2024-10-17,4960,5050,4940,4980,188127700,0,0,0,0
2024-10-18,5025,5050,4960,4970,157113000,0,0,0,0
2024-10-21,4980,5025,4970,4990,110708200,0,0,0,0
2024-10-22,4960,4970,4900,4900,199707500,0,0,0,0
2024-10-23,4830,4890,4810,4860,222147300,0,0,0,0
2024-10-24,4820,4900,4810,4820,218162100,0,0,0,0
2024-10-25,4820,4860,4770,4770,195647800,0,0,0,0
2024-10-28,4770,4800,4710,4760,191211000,0,0,0,0
2024-10-29,4730,4780,4700,4700,203658600,0,0,0,0
2024-10-30,4630,4750,4630,4710,296314500,0,0,0,0
2024-10-31,4770,4820,4250,4250,5485839800,0,0,0,0
2024-11-01,4770,4820,4700,4700,235656400,0,0,0,0
2024-11-04,4710,4770,4650,4720,209831500,0,0,0,0
2024-11-05,4690,4740,4680,4710,199499300,0,0,0,0
2024-11-06,4710,4730,4600,4600,249059500,0,0,0,0
2024-11-07,4610,4640,4550,4550,296218600,0,0,0,0
2024-11-08,4600,4640,4520,4520,198589900,0,0,0,0
2024-11-11,4470,4540,4370,4460,507192300,0,0,0,0
2024-11-12,4430,4520,4430,4500,252380100,0,0,0,0
2024-11-13,4470,4610,4460,4580,209627200,0,0,0,0
2024-11-14,4570,4590,4500,4500,159871800,0,0,0,0
2024-11-15,4450,4510,4450,4470,106365600,0,0,0,0
2024-11-18,4440,4460,4350,4350,253272300,0,0,0,0
2024-11-19,4350,4410,4350,4360,294838700,0,0,0,0
2024-11-20,4400,4440,4330,4330,298734600,0,0,0,0
2024-11-21,4280,4320,4250,4250,376788400,0,0,0,0
2024-11-22,4250,4420,4250,4400,280188100,0,0,0,0
2024-11-25,4420,4530,4420,4470,401446400,0,0,0,0
2024-11-26,4450,4470,4380,4400,266677500,0,0,0,0
2024-11-28,4350,4390,4330,4330,277081800,0,0,0,0
2024-11-29,4280,4300,4250,4250,412519800,0,0,0,0
2024-11-30,4270,4430,4050,4080,4632712800,0,0,0,0
2024-12-02,4270,4280,4160,4170,337188900,0,0,0,0
2024-12-03,4240,4250,4210,4240,384146700,0,0,0,0
2024-12-04,4240,4370,4220,4350,345762200,0,0,0,0
2024-12-05,4310,4340,4250,4260,183249300,0,0,0,0
2024-12-06,4250,4310,4220,4310,151433000,0,0,0,0
2024-12-09,4310,4390,4300,4390,158897200,0,0,0,0
2024-12-10,4360,4380,4290,4360,196160900,0,0,0,0
2024-12-11,4340,4430,4340,4380,203980300,0,0,0,0
2024-12-12,4340,4360,4260,4260,226698900,0,0,0,0
2024-12-13,4230,4280,4170,4170,287838100,0,0,0,0
2024-12-16,4150,4280,4150,4250,325441900,0,0,0,0
2024-12-17,4250,4290,4150,4150,327919000,0,0,0,0
2024-12-18,4170,4210,4130,4150,205055500,0,0,0,0
2024-12-19,4090,4110,4050,4090,381986300,0,0,0,0
2024-12-20,4070,4120,4050,4060,252689600,0,0,0,0
2024-12-23,4130,4210,4110,4210,167689800,0,0,0,0
2024-12-24,4220,4250,4170,4200,199536100,0,0,0,0
2024-12-27,4100,4120,4080,4100,143104400,0,0,0,0
2024-12-30,4080,4120,4070,4080,153934700,0,0,0,0
2024-12-31,4100,4380,3800,4220,4350836300,0,0,0,0
2025-01-02,4100,4220,4090,4210,181361700,0,0,0,0
2025-01-03,4220,4240,4150,4150,134632300,0,0,0,0
2025-01-06,4180,4180,4100,4100,153048700,0,0,0,0
2025-01-07,4080,4090,4030,4030,171997400,0,0,0,0
2025-01-08,4030,4100,4030,4080,133655700,0,0,0,0
2025-01-09,4070,4100,4030,4030,99300400,0,0,0,0
2025-01-10,4030,4060,4010,4010,132774300,0,0,0,0
2025-01-13,3990,3990,3850,3850,413408100,0,0,0,0
2025-01-14,3820,3920,3800,3800,293621700,0,0,0,0
2025-01-15,3840,4090,3840,4090,407813500,0,0,0,0
2025-01-16,4210,4240,4130,4160,349387500,0,0,0,0
2025-01-17,4150,4190,4080,4090,268758600,0,0,0,0
2025-01-20,4130,4220,4130,4220,167348600,0,0,0,0
2025-01-21,4270,4380,4250,4260,345223800,0,0,0,0
2025-01-22,4310,4320,4230,4260,193218900,0,0,0,0
2025-01-23,4260,4340,4260,4300,216018100,0,0,0,0
2025-01-24,4350,4350,4190,4190,276421900,0,0,0,0
2025-01-30,4130,4170,4090,4120,220222400,0,0,0,0
2025-01-31,4200,4300,3360,3360,6711717800,0,0,0,0
2025-02-03,4200,4270,4150,4250,220285800,0,0,0,0
2025-02-04,4260,4300,4200,4260,231917500,0,0,0,0
2025-02-05,4250,4250,4140,4140,209834400,0,0,0,0
2025-02-06,4120,4160,3940,3970,378545500,0,0,0,0
2025-02-07,3970,4030,3940,4030,259636200,0,0,0,0
2025-02-10,4000,4050,3950,3970,201999400,0,0,0,0
2025-02-11,3970,4040,3900,4010,276382800,0,0,0,0
2025-02-12,3960,4060,3950,4030,362571900,0,0,0,0
2025-02-13,4000,4030,3960,3990,341640600,0,0,0,0
2025-02-14,4000,4010,3850,3860,524909600,0,0,0,0
2025-02-17,3870,4030,3870,4030,265737100,0,0,0,0
2025-02-18,4030,4180,4030,4150,374350700,0,0,0,0
2025-02-19,4160,4180,4010,4020,348358600,0,0,0,0
2025-02-20,3970,4020,3910,3910,312753300,0,0,0,0
2025-02-21,3910,3930,3870,3890,205268800,0,0,0,0
2025-02-24,3900,3940,3870,3920,138610800,0,0,0,0
2025-02-25,3880,3920,3800,3800,404555100,0,0,0,0
2025-02-26,3800,3860,3760,3820,242834100,0,0,0,0
