date,ticker,label
2026-07-30,BRMS,win
2026-07-30,BULL,win
2026-07-30,EMAS,win
2026-07-30,ENRG,win
2026-07-30,MDIA,win
2026-07-30,PANI,win
2026-07-30,BBRI,draw
2026-07-30,BUMI,draw
2026-07-31,AMMN,win
2026-07-31,ASII,win
2026-07-31,BACH,win
2026-07-31,BBRI,win
2026-07-31,BRMS,win
2026-07-31,CUAN,win
2026-07-31,DEWA,win
2026-07-31,EMAS,win
2026-07-31,GULA,win
2026-07-31,PACK,win
2026-07-31,RAJA,win
2026-07-31,TINS,win
2026-07-31,TPIA,win
2026-07-31,BIPI,loss
2026-07-31,ENRG,loss
2026-07-31,PADI,loss
2026-07-31,ANTM,draw
2026-08-03,AMMN,win
2026-08-03,BACH,win
2026-08-03,IATA,win
2026-08-03,TKIM,win
2026-08-03,ASII,loss
2026-08-03,BNBR,loss
2026-08-03,BUMI,loss
2026-08-03,TPIA,loss
2026-08-04,ASII,win
2026-08-04,BBRI,win
2026-08-04,BMRI,win
2026-08-04,INDY,win
2026-08-04,JKON,win
2026-08-04,KOTA,win
2026-08-04,MAPI,win
2026-08-04,CYBR,loss
2026-08-04,JELI,loss
2026-08-04,BACH,draw
2026-08-04,EMMI,draw
2026-08-05,AMMN,win
2026-08-05,BKSL,win
2026-08-05,BULL,win
2026-08-05,BUMI,win
2026-08-05,COCO,win
2026-08-05,DEWA,win
2026-08-05,DSSA,win
2026-08-05,NSSS,win
2026-08-05,RMKE,win
2026-08-05,TINS,win
2026-08-05,TPIA,win
2026-08-05,VKTR,win
2026-08-05,GULA,win
2026-08-05,INCO,loss
2026-08-05,OASA,loss
2026-08-05,BUVA,draw
2026-08-05,GGRM,draw
2026-08-05,HRTA,draw
2026-08-06,ARCI,win
2026-08-06,BBRI,win
2026-08-06,BNBR,win
2026-08-06,BREN,win
2026-08-06,BUVA,win
2026-08-06,CDIA,win
2026-08-06,CUAN,win
2026-08-06,DSSA,win
2026-08-06,PTRO,win
2026-08-06,SMGR,win
2026-08-06,AMMN,loss
2026-08-06,BBCA,loss
2026-08-06,EMAS,loss
2026-08-06,PSAB,loss
2026-08-06,VKTR,loss
2026-08-07,BMRI,win
2026-08-07,BULL,win
2026-08-07,BUMI,win
2026-08-07,DEWA,win
2026-08-07,HATM,win
2026-08-07,JGLE,win
2026-08-07,SRTG,win
2026-08-07,TINS,win
2026-08-07,TLKM,win
2026-08-07,VKTR,win
2026-08-07,DSSA,loss
2026-08-07,GULA,loss
2026-08-07,PADA,loss
2026-08-07,AADI,draw
2026-08-10,AMMN,win
2026-08-10,ANTM,win
2026-08-10,BACH,win
2026-08-10,CUAN,win
2026-08-10,ESSA,win
2026-08-10,HATM,win
2026-08-10,HRUM,win
2026-08-10,JGLE,win
2026-08-10,MDKA,win
2026-08-10,TINS,win
2026-08-10,BBCA,loss
2026-08-10,BBRI,loss
2026-08-10,BIPI,loss
2026-08-10,BMRI,loss
2026-08-10,BNBR,loss
2026-08-10,EMAS,loss
2026-08-10,ISAT,loss
2026-08-10,PTRO,loss
2026-08-10,SSIA,loss
2026-08-11,AMMN,loss
2026-08-11,BULL,loss
2026-08-11,EMAS,loss
2026-08-11,HRTA,loss
2026-08-11,MDKA,loss
2026-08-11,TPIA,loss
2026-08-12,BREN,win
2026-08-12,BRPT,win
2026-08-12,BULL,win
2026-08-12,BUMI,win
2026-08-12,DEWA,win
2026-08-12,DSSA,win
2026-08-12,ESSA,win
2026-08-12,TPIA,win
2026-08-12,VKTR,win
2026-08-12,BMRI,win
2026-08-12,BNBR,draw
2026-08-13,BACH,win
2026-08-13,BAIK,win
2026-08-13,BRMS,win
2026-08-13,CUAN,win
2026-08-13,DSSA,win
2026-08-13,ENRG,win
2026-08-13,SLIS,win
2026-08-13,SWID,win
2026-08-13,BNBR,loss
2026-08-13,BREN,loss
2026-08-13,BULL,loss
2026-08-13,ISAT,loss
2026-08-13,MBMA,loss
