variant_id,variant_label,ticker,entry_signals,total_trades,avg_return_per_trade,avg_win_rate,avg_holding_period_actual,max_drawdown_per_trade,coverage_collapsed
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,LSIP,448,146,1.1752,47.2603,10.9863,4.9457,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,MAPI,384,125,0.4906,48.0,11.592,5.8816,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,MEDC,479,148,2.4906,44.5946,10.973,5.4131,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,MIKA,86,29,2.2447,68.9655,12.931,4.306,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,MNCN,259,94,-0.8554,30.8511,10.6383,7.3812,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,MYOR,475,158,2.1453,45.5696,11.5949,4.1857,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,PGAS,413,131,1.8977,48.0916,12.1679,4.2953,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,PTBA,483,149,1.8997,44.9664,11.8792,4.7949,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,PWON,361,114,1.5381,45.614,11.307,4.5414,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,RALS,348,107,0.7391,43.9252,11.1589,4.9033,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,SCMA,435,138,1.4668,39.8551,11.0725,5.3622,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,SILO,219,67,2.0349,44.7761,11.3881,5.0025,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,SMGR,328,116,0.2018,45.6897,11.5517,4.6757,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,TBIG,228,71,1.6981,46.4789,12.9437,4.844,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,TLKM,307,124,-0.2458,45.1613,10.7661,3.6683,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,TPIA,307,82,5.2766,54.878,11.6707,5.1505,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,UNTR,443,155,0.8849,49.0323,11.5613,4.91,False
atr_trailing_stop_no_layer3,ATR trailing stop without Layer 3,UNVR,409,156,-0.2945,39.1026,10.3846,4.128,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,AALI,274,122,0.1534,39.3443,10.4836,4.6743,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ACES,223,89,-1.0462,34.8315,11.809,5.6317,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ADRO,208,95,0.895,45.2632,11.1158,5.499,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,AKRA,169,80,-0.3231,45.0,11.5875,5.6818,False
