variant_id,variant_label,date,active_ticker_count,available_ticker_count,target_selected_count
layer1_only,Layer 1 only,2000-12-14,0,9,0
layer1_only,Layer 1 only,2000-12-15,0,9,0
layer1_only,Layer 1 only,2000-12-18,0,9,0
layer1_only,Layer 1 only,2000-12-19,0,9,0
layer1_only,Layer 1 only,2000-12-20,0,9,0
layer1_only,Layer 1 only,2000-12-21,0,9,0
layer1_only,Layer 1 only,2000-12-22,0,9,0
layer1_only,Layer 1 only,2000-12-25,0,9,0
layer1_only,Layer 1 only,2000-12-26,0,9,0
layer1_only,Layer 1 only,2000-12-27,0,9,0
layer1_only,Layer 1 only,2000-12-28,0,9,0
layer1_only,Layer 1 only,2000-12-29,0,9,0
layer1_only,Layer 1 only,2001-01-01,0,9,0
layer1_only,Layer 1 only,2001-01-02,0,9,0
layer1_only,Layer 1 only,2001-01-03,0,9,0
layer1_only,Layer 1 only,2001-01-04,0,9,0
layer1_only,Layer 1 only,2001-01-05,0,9,0
layer1_only,Layer 1 only,2001-01-08,0,9,0
layer1_only,Layer 1 only,2001-01-09,0,9,0
layer1_only,Layer 1 only,2001-01-10,0,9,0
layer1_only,Layer 1 only,2001-01-11,0,9,0
layer1_only,Layer 1 only,2001-01-12,0,9,0
layer1_only,Layer 1 only,2001-01-15,0,9,0
layer1_only,Layer 1 only,2001-01-16,0,9,0
layer1_only,Layer 1 only,2001-01-17,0,9,0
layer1_only,Layer 1 only,2001-01-18,0,9,0
layer1_only,Layer 1 only,2001-01-19,0,9,0
layer1_only,Layer 1 only,2001-01-22,0,9,0
layer1_only,Layer 1 only,2001-01-23,0,9,0
layer1_only,Layer 1 only,2001-01-24,0,9,0
layer1_only,Layer 1 only,2001-01-25,0,9,0
layer1_only,Layer 1 only,2001-01-26,0,9,0
layer1_only,Layer 1 only,2001-01-29,0,9,0
layer1_only,Layer 1 only,2001-01-30,0,9,0
layer1_only,Layer 1 only,2001-01-31,0,10,0
layer1_only,Layer 1 only,2001-02-01,0,10,0
layer1_only,Layer 1 only,2001-02-02,0,10,0
layer1_only,Layer 1 only,2001-02-05,0,10,0
layer1_only,Layer 1 only,2001-02-06,0,10,0
layer1_only,Layer 1 only,2001-02-07,0,10,0
layer1_only,Layer 1 only,2001-02-08,0,10,0
layer1_only,Layer 1 only,2001-02-09,0,10,0
layer1_only,Layer 1 only,2001-02-12,0,10,0
layer1_only,Layer 1 only,2001-02-13,0,10,0
layer1_only,Layer 1 only,2001-02-14,0,10,0
layer1_only,Layer 1 only,2001-02-15,0,10,0
layer1_only,Layer 1 only,2001-02-16,0,10,0
layer1_only,Layer 1 only,2001-02-19,0,10,0
layer1_only,Layer 1 only,2001-02-20,0,10,0
layer1_only,Layer 1 only,2001-02-21,0,10,0
layer1_only,Layer 1 only,2001-02-22,0,10,0
layer1_only,Layer 1 only,2001-02-23,0,10,0
layer1_only,Layer 1 only,2001-02-26,0,10,0
layer1_only,Layer 1 only,2001-02-27,0,10,0
layer1_only,Layer 1 only,2001-02-28,0,10,0
layer1_only,Layer 1 only,2001-03-01,0,10,0
layer1_only,Layer 1 only,2001-03-02,0,10,0
layer1_only,Layer 1 only,2001-03-05,0,10,0
layer1_only,Layer 1 only,2001-03-06,0,10,0
layer1_only,Layer 1 only,2001-03-07,0,10,0
layer1_only,Layer 1 only,2001-03-08,0,10,0
layer1_only,Layer 1 only,2001-03-09,0,10,0
layer1_only,Layer 1 only,2001-03-12,0,10,0
layer1_only,Layer 1 only,2001-03-13,0,10,0
layer1_only,Layer 1 only,2001-03-14,0,10,0
layer1_only,Layer 1 only,2001-03-15,0,10,0
