ticker,config_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,applied_strict_mode,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,eligible_for_analysis,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
GOTO,hold_7_mintrades_10,7,10,0.0,1.5,False,28,17.86,17.8571,-3.8138,67.8224,True,-4.1774,40.0,33.9112,0.0,1.9114,technology,,teknologi,
GOTO,hold_5_mintrades_5,5,5,0.0,1.5,False,31,32.26,32.2581,-1.7196,47.7039,True,5.3784,20.0,23.8519,0.0,1.5265,technology,,teknologi,
GOTO,hold_3_mintrades_8,3,8,0.0,1.5,False,35,20.0,20.0,-2.7743,65.4829,True,-0.9358,32.0,32.7415,0.0,-1.6772,technology,,teknologi,
GOTO,hold_7_mintrades_8,7,8,0.0,1.5,False,28,17.86,17.8571,-3.8138,67.8224,True,-4.1774,32.0,33.9112,0.0,-6.0886,technology,,teknologi,
GOTO,hold_3_mintrades_5,3,5,0.0,1.5,False,35,20.0,20.0,-2.7743,65.4829,True,-0.9358,20.0,32.7415,0.0,-13.6772,technology,,teknologi,
GOTO,hold_7_mintrades_5,7,5,0.0,1.5,False,28,17.86,17.8571,-3.8138,67.8224,True,-4.1774,20.0,33.9112,0.0,-18.0886,technology,,teknologi,
ICBP,hold_3_mintrades_10,3,10,0.0,1.5,False,112,44.64,44.6429,-0.173,22.9422,True,12.9604,40.0,11.4711,0.0,41.4893,consumer,,konsumsi,
ICBP,hold_7_mintrades_10,7,10,0.0,1.5,False,87,47.13,47.1264,-0.1029,30.7253,True,13.8807,40.0,15.3627,0.0,38.518,consumer,,konsumsi,
ICBP,hold_5_mintrades_10,5,10,0.0,1.5,False,96,41.67,41.6667,-0.2831,31.7293,True,11.7923,40.0,15.8646,0.0,35.9276,consumer,,konsumsi,
ICBP,hold_3_mintrades_8,3,8,0.0,1.5,False,112,44.64,44.6429,-0.173,22.9422,True,12.9604,32.0,11.4711,0.0,33.4893,consumer,,konsumsi,
ICBP,hold_7_mintrades_8,7,8,0.0,1.5,False,87,47.13,47.1264,-0.1029,30.7253,True,13.8807,32.0,15.3627,0.0,30.518,consumer,,konsumsi,
ICBP,hold_5_mintrades_8,5,8,0.0,1.5,False,96,41.67,41.6667,-0.2831,31.7293,True,11.7923,32.0,15.8646,0.0,27.9276,consumer,,konsumsi,
ICBP,hold_3_mintrades_5,3,5,0.0,1.5,False,112,44.64,44.6429,-0.173,22.9422,True,12.9604,20.0,11.4711,0.0,21.4893,consumer,,konsumsi,
ICBP,hold_7_mintrades_5,7,5,0.0,1.5,False,87,47.13,47.1264,-0.1029,30.7253,True,13.8807,20.0,15.3627,0.0,18.518,consumer,,konsumsi,
