ticker,label,n_trades,n_episodes,verdict,detail,wr_pct,mean_pct,median_pct,ci95_lo_pct,p1,p3,p4,passed
TKIM,GABUNGAN,58,15,LULUS 0/3,,33.33333333333333,-0.400495797567226,-0.8503873717235907,-1.2981720504944303,False,False,False,0.0
TLKM,GABUNGAN,46,20,LULUS 0/3,,25.0,-0.6581893819875517,-1.704890862721386,-1.702082197760873,False,False,False,0.0
TOBA,GABUNGAN,174,17,LULUS PENUH,,64.70588235294117,0.9858968419853746,1.0281250000000026,0.2233433196989324,True,True,True,3.0
TOWR,GABUNGAN,47,14,LULUS 0/3,,35.714285714285715,-0.5617899564864097,-0.6359558778402481,-1.4866362114057199,False,False,False,0.0
TPIA,GABUNGAN,122,20,LULUS 0/3,,40.0,-0.18527093847300752,-0.22990348343008227,-1.1655955011992518,False,False,False,0.0
VKTR,GABUNGAN,171,17,LULUS PENUH,,58.82352941176471,3.1947387636704643,0.46709350132570465,0.7734952781711089,True,True,True,3.0
WIFI,GABUNGAN,123,19,LULUS PENUH,,73.68421052631578,2.4442233602562218,1.867115030194829,0.8976472375385128,True,True,True,3.0
WIRG,GABUNGAN,164,17,LULUS 0/3,,41.17647058823529,-0.5057088839733926,-1.0807017543859703,-1.373829906712697,False,False,False,0.0
WMUU,GABUNGAN,207,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
AADI,MOMENTUM,111,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
AALI,MOMENTUM,136,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
ADMR,MOMENTUM,80,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
ADRO,MOMENTUM,138,13,LULUS 0/3,,15.384615384615385,-1.204073382542088,-1.2505361305361313,-1.6492366075227027,False,False,False,0.0
AKRA,MOMENTUM,134,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
AMMN,MOMENTUM,99,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
AMRT,MOMENTUM,72,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
ANTM,MOMENTUM,135,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
ARCI,MOMENTUM,165,13,LULUS 0/3,,30.76923076923077,-0.600041454462691,-0.3716813567074502,-1.4690406466110377,False,False,False,0.0
