signal_date,entry_date,exit_date,entry_price,exit_price,return_pct,is_win,holding_period_bars,max_drawdown_pct,exit_reason,ticker,variant_id
2005-06-20,2005-06-21,2005-07-11,742.8572387695312,723.8095703125,-2.5641088843102353,False,15,4.4872,time_stop,MEDC,atr_trailing_stop_no_layer3
2005-07-28,2005-07-29,2005-07-29,704.761962890625,609.5238647460938,-13.513512811319481,False,1,14.8649,atr_stop,MEDC,atr_trailing_stop_no_layer3
2005-09-09,2005-09-12,2005-09-23,676.1905517578125,642.857177734375,-4.929582931436217,False,10,5.6338,atr_stop,MEDC,atr_trailing_stop_no_layer3
2005-10-14,2005-10-17,2005-10-26,704.761962890625,666.666748046875,-5.405401660370561,False,8,5.4054,atr_stop,MEDC,atr_trailing_stop_no_layer3
2005-12-07,2005-12-08,2005-12-15,671.4286499023438,642.857177734375,-4.255325144693236,False,6,4.2553,atr_stop,MEDC,atr_trailing_stop_no_layer3
2005-12-21,2005-12-22,2006-01-11,661.9048461914062,709.5238647460938,7.1942392971870275,True,15,2.8777,time_stop,MEDC,atr_trailing_stop_no_layer3
2006-01-12,2006-01-13,2006-01-20,733.3334350585938,714.2857666015625,-2.5974089747468465,False,6,2.5974,atr_stop,MEDC,atr_trailing_stop_no_layer3
2006-02-02,2006-02-03,2006-02-23,757.1429443359375,780.9524536132812,3.1446518065655624,True,15,2.5157,time_stop,MEDC,atr_trailing_stop_no_layer3
2006-02-28,2006-03-01,2006-03-08,785.71435546875,747.619140625,-4.848481458764075,False,6,4.8485,atr_stop,MEDC,atr_trailing_stop_no_layer3
2006-03-10,2006-03-13,2006-03-31,757.1429443359375,790.4762573242188,4.402512529191788,True,15,0.0,time_stop,MEDC,atr_trailing_stop_no_layer3
2006-04-13,2006-04-14,2006-05-04,800.0000610351562,909.52392578125,13.69048204876083,True,15,0.0,time_stop,MEDC,atr_trailing_stop_no_layer3
2006-08-07,2006-08-08,2006-08-10,723.8095703125,680.9524536132812,-5.921048637242455,False,3,6.5789,atr_stop,MEDC,atr_trailing_stop_no_layer3
2006-09-22,2006-09-25,2006-10-13,671.4286499023438,661.9048461914062,-1.4184386847839594,False,15,4.9645,time_stop,MEDC,atr_trailing_stop_no_layer3
2006-11-17,2006-11-20,2006-11-24,642.857177734375,619.0476684570312,-3.7037012422037088,False,5,4.4444,atr_stop,MEDC,atr_trailing_stop_no_layer3
2006-12-27,2006-12-28,2007-01-10,700.0000610351562,604.761962890625,-13.605441405775547,False,9,14.2857,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-01-19,2007-01-22,2007-01-25,680.9524536132812,652.3810424804688,-4.195801187176344,False,4,5.5944,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-02-08,2007-02-09,2007-03-01,690.4762573242188,738.0953369140625,6.89655568670536,True,15,6.8966,time_stop,MEDC,atr_trailing_stop_no_layer3
2007-03-16,2007-03-20,2007-04-02,723.8095703125,671.4286499023438,-7.236837223296335,False,10,7.2368,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-04-05,2007-04-09,2007-04-19,685.71435546875,652.3810424804688,-4.8611076496269074,False,9,4.8611,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-05-29,2007-05-30,2007-06-20,671.4286499023438,676.1905517578125,0.7092193423919797,True,15,0.7092,time_stop,MEDC,atr_trailing_stop_no_layer3
2007-07-10,2007-07-11,2007-07-27,714.2857666015625,800.0000610351562,12.00000034179685,True,13,4.6667,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-08-01,2007-08-02,2007-08-16,776.1905517578125,638.0952758789062,-17.79141417866612,False,11,20.8589,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-09-14,2007-09-17,2007-10-05,733.3334350585938,852.3810424804688,16.233762396550627,True,15,0.6494,time_stop,MEDC,atr_trailing_stop_no_layer3
2007-10-17,2007-10-18,2007-10-19,933.3334350585938,895.2381591796875,-4.081636256448337,False,2,4.5918,atr_stop,MEDC,atr_trailing_stop_no_layer3
2007-10-22,2007-10-23,2007-11-12,828.571533203125,1133.33349609375,36.78161156616907,True,15,0.0,time_stop,MEDC,atr_trailing_stop_no_layer3
2008-01-03,2008-01-04,2008-01-16,1028.571533203125,866.666748046875,-15.740741400071064,False,7,16.6667,atr_stop,MEDC,atr_trailing_stop_no_layer3
2008-04-16,2008-04-17,2008-05-09,719.0476684570312,814.2857666015625,13.245032606655686,True,15,0.0,time_stop,MEDC,atr_trailing_stop_no_layer3
2008-05-14,2008-05-15,2008-06-06,961.9048461914062,1000.0001220703124,3.9603996205801093,True,15,8.4158,time_stop,MEDC,atr_trailing_stop_no_layer3
2008-06-09,2008-06-10,2008-06-16,1076.1905517578125,952.3810424804688,-11.504422620614683,False,5,11.5044,atr_stop,MEDC,atr_trailing_stop_no_layer3
2009-05-29,2009-06-01,2009-06-16,647.619140625,614.2857666015625,-5.147064367379313,False,12,5.8824,atr_stop,MEDC,atr_trailing_stop_no_layer3
2009-07-21,2009-07-22,2009-08-11,566.666748046875,614.2857666015625,8.403355008709356,True,15,0.0,time_stop,MEDC,atr_trailing_stop_no_layer3
2009-08-12,2009-08-13,2009-08-27,604.761962890625,561.9048461914062,-7.0866091667490885,False,10,7.874,atr_stop,MEDC,atr_trailing_stop_no_layer3
2009-10-01,2009-10-02,2009-10-07,576.1905517578125,580.9524536132812,0.8264456681806713,True,4,1.6529,atr_stop,MEDC,atr_trailing_stop_no_layer3
2010-02-17,2010-02-18,2010-03-11,466.6667175292969,509.52386474609375,9.183673402658364,True,15,2.0408,time_stop,MEDC,atr_trailing_stop_no_layer3
2010-03-12,2010-03-15,2010-04-01,514.2857666015625,485.7143249511719,-5.555557533546529,False,13,6.4815,atr_stop,MEDC,atr_trailing_stop_no_layer3
2010-04-07,2010-04-08,2010-04-19,500.00006103515625,538.0952758789062,7.619042038691156,True,8,0.0,atr_stop,MEDC,atr_trailing_stop_no_layer3
2010-06-18,2010-06-21,2010-07-09,580.9524536132812,585.71435546875,0.8196715283413836,True,15,4.918,time_stop,MEDC,atr_trailing_stop_no_layer3
2010-07-12,2010-07-13,2010-07-16,580.9524536132812,552.3809814453125,-4.9180396760984735,False,4,6.5574,atr_stop,MEDC,atr_trailing_stop_no_layer3
2010-07-29,2010-07-30,2010-08-20,571.4286499023438,623.8095703125,9.166659812928188,True,15,4.1667,time_stop,MEDC,atr_trailing_stop_no_layer3
2010-09-29,2010-09-30,2010-10-20,633.3333740234375,804.761962890625,27.067670187366993,True,15,1.5038,time_stop,MEDC,atr_trailing_stop_no_layer3
2010-12-30,2011-01-03,2011-01-10,657.1429443359375,604.761962890625,-7.9710178579555535,False,6,8.6957,atr_stop,MEDC,atr_trailing_stop_no_layer3
2011-07-26,2011-07-27,2011-08-05,485.7143249511719,447.61907958984375,-7.8431381172786665,False,8,11.7647,atr_stop,MEDC,atr_trailing_stop_no_layer3
2011-08-11,2011-08-12,2011-08-19,490.4762268066406,452.3810119628906,-7.766984975352983,False,5,8.7379,atr_stop,MEDC,atr_trailing_stop_no_layer3
2011-11-01,2011-11-02,2011-11-21,442.857177734375,438.0952758789063,-1.0752680762295048,False,14,3.2258,atr_stop,MEDC,atr_trailing_stop_no_layer3
2011-12-16,2011-12-19,2012-01-09,471.4286193847656,457.1429138183594,-3.0303008724946956,False,15,5.0505,time_stop,MEDC,atr_trailing_stop_no_layer3
2012-04-20,2012-04-23,2012-05-07,414.2857666015625,409.52386474609375,-1.1494244406539045,False,11,5.7471,atr_stop,MEDC,atr_trailing_stop_no_layer3
2012-09-19,2012-09-20,2012-10-03,331.4285888671875,318.09527587890625,-4.0229821554785286,False,10,5.1724,atr_stop,MEDC,atr_trailing_stop_no_layer3
2013-02-14,2013-02-15,2013-03-04,304.7619323730469,310.4762268066406,1.8750026911494677,True,12,1.25,atr_stop,MEDC,atr_trailing_stop_no_layer3
2013-03-06,2013-03-07,2013-03-18,325.7143249511719,312.3809814453125,-4.093569881477638,False,7,4.6784,atr_stop,MEDC,atr_trailing_stop_no_layer3
2013-04-15,2013-04-16,2013-05-06,331.4285888671875,390.4762268066406,17.816096716724434,True,15,2.8736,atr_stop,MEDC,atr_trailing_stop_no_layer3
2013-05-21,2013-05-22,2013-06-04,400.0000305175781,358.09527587890625,-10.476187860398264,False,10,11.4286,atr_stop,MEDC,atr_trailing_stop_no_layer3
2013-07-18,2013-07-19,2013-08-15,352.3809814453125,414.2857666015625,17.56757271699048,True,15,6.4865,time_stop,MEDC,atr_trailing_stop_no_layer3
2013-08-16,2013-08-19,2013-09-06,395.2381286621094,552.3809814453125,39.759031679239925,True,15,11.8072,time_stop,MEDC,atr_trailing_stop_no_layer3
2014-03-04,2014-03-05,2014-03-21,508.5714721679688,510.4762268066406,0.37453037437434633,True,13,1.8727,atr_stop,MEDC,atr_trailing_stop_no_layer3
2014-04-02,2014-04-03,2014-04-10,508.5714721679688,485.7143249511719,-4.4943824944329105,False,6,4.4944,atr_stop,MEDC,atr_trailing_stop_no_layer3
2014-04-30,2014-05-02,2014-05-23,523.8095703125,596.1905517578125,13.818186140075806,True,15,0.9091,time_stop,MEDC,atr_trailing_stop_no_layer3
2014-05-30,2014-06-02,2014-06-20,604.761962890625,662.8572387695312,9.606304536949382,True,15,2.5197,time_stop,MEDC,atr_trailing_stop_no_layer3
2014-06-30,2014-07-01,2014-07-11,672.3810424804688,668.5714721679688,-0.5665790782033626,False,9,2.2663,atr_stop,MEDC,atr_trailing_stop_no_layer3
2014-07-18,2014-07-21,2014-08-15,663.8095703125,666.666748046875,0.43042129281594016,True,15,5.8824,time_stop,MEDC,atr_trailing_stop_no_layer3
2014-08-29,2014-09-01,2014-09-10,684.761962890625,666.666748046875,-2.642555489992994,False,8,4.7288,atr_stop,MEDC,atr_trailing_stop_no_layer3
